stars,movies,appearances
Alastair Galbraith,['Intimacy'],1
Alastair Sim,['A Christmas Carol'],1
Alaya F,['Freddy'],1
Alba Baptista,['Mrs. Harris Goes to Paris'],1
Alba Rohrwacher,"['I Am Love', 'Happy as Lazzaro']",2
Alban Lenoir,"['Lost Bullet', 'AKA']",2
Albert Brooks,"['Taxi Driver', 'Twilight Zone: The Movie', 'Broadcast News', 'Defending Your Life', 'The Muse', 'Finding Nemo', 'The In-Laws', 'Drive', 'Concussion', 'Finding Dory']",10
Albert Dekker,"['The Killers', 'Kiss Me Deadly', 'Suddenly, Last Summer']",3
Albert Delpy,"['Two Days in New York', 'Le daim']",2
Albert Dupontel,"['Irreversible', 'See You Up There']",2
Albert Finney,"['Tom Jones', 'Two for the Road', 'Scrooge', 'Murder on the Orient Express', 'The Duellists', 'Wolfen', 'Annie', ""Miller's Crossing"", 'Erin Brockovich', 'Big Fish', 'Amazing Grace', 'A Good Year', ""Before the Devil Knows You're Dead""]",13
Albert Hall,['Rookie of the Year'],1
Albert Magnoli,['Tango & Cash'],1
Albert Sinkys,['Ms .45'],1
Albert Tsai,['Abominable'],1
Albert Uderzo,"['Asterix and Cleopatra', 'The Twelve Tasks of Asterix']",2
Alberta Watson,['The Keep'],1
Alberto Ammann,"['Cell 211', 'Eva']",2
Alberto Morin,['Two Mules for Sister Sara'],1
Alberto Reyes,['The Legend of Zorro'],1
Alberto San Juan,['Sleep Tight'],1
Alberto Sordi,['I Vitelloni'],1
Alberto de Mendoza,['Horror Express'],1
Albrecht Schuch,"['System Crasher', 'All Quiet on the Western Front']",2
Alden Ehrenreich,"['Tetro', 'Beautiful Creatures', 'Hail, Caesar!', 'Solo: A Star Wars Story', 'Cocaine Bear']",5
Aldis Hodge,"['Jack Reacher: Never Go Back', 'The Invisible Man', 'One Night in Miami...', 'Black Adam']",4
Aldo Fabrizi,"['Rome, Open City']",1
Aldo Puglisi,['Marriage Italian Style'],1
Aldo Ray,"[""We're No Angels"", 'The Green Berets']",2
Aldo Silvani,['La strada'],1
Aldo Valletti,"['Salò, or the 120 Days of Sodom']",1
Alec Baldwin,"['Beetlejuice', 'Working Girl', 'Married to the Mob', ""She's Having a Baby"", 'The Hunt for Red October', 'Glengarry Glen Ross', 'Malice', 'The Shadow', 'The Getaway', 'Ghosts of Mississippi', 'The Juror', 'The Edge', 'Mercury Rising', 'Final Fantasy: The Spirits Within', 'Cats & Dogs', 'The Cooler', 'Elizabethtown', 'Fun with Dick and Jane', 'The Good Shepherd', 'Lymelife', ""My Best Friend's Girl"", ""My Sister's Keeper"", ""It's Complicated"", 'Rise of the Guardians', 'Rock of Ages', 'Blue Jasmine', 'Still Alice', 'Concussion', 'Aloha', 'The Boss Baby', 'Motherless Brooklyn', 'The Boss Baby: Family Business']",32
Alec Berg,['EuroTrip'],1
Alec Cawthorne,['Sleuth'],1
Alec Guinness,"['Oliver Twist', 'Kind Hearts and Coronets', 'The Lavender Hill Mob', 'The Man in the White Suit', 'The Ladykillers', 'The Bridge on the River Kwai', 'Scrooge', 'Murder by Death', 'Star Wars: Episode IV - A New Hope']",9
Alec Newman,['A Lonely Place to Die'],1
Alec Secareanu,"[""God's Own Country""]",1
Alejandro Jodorowsky,"['El Topo', 'The Holy Mountain']",2
Alejandro Rey,['Moscow on the Hudson'],1
Alejo Sauras,"[""Fermat's Room""]",1
Alek Skarlatos,['The 15:17 to Paris'],1
Aleks Mikic,['Better Watch Out'],1
